MonthYear,CPI,CPI_lag1,CPI_lag2,RON95_change_lag1,Diesel_change_lag1,Brent_change_lag1,USD_VND_change_lag1,RON95_MA3,Diesel_MA3,Brent_MA3,USDVND_MA3,Brent_WTI_Spread_lag1,Dummy_Tet,Dummy_Covid,Month_sin,Month_cos
2012-01,0.66,0.16,-0.01,0.0,0.0,-2.618037374740445,0.050954189299612374,0.0,-1.1058451816745658,-1.470472970237683,0.2991750644750916,9.310000000000002,1,0,0.49999999999999994,0.8660254037844387
2012-02,0.23,0.66,0.16,0.0,0.0,2.614257903031425,0.069185532536431,0.0,0.0,0.3699557549803038,0.18488315000869301,10.420000000000002,0,0,0.8660254037844386,0.5000000000000001
2012-03,1.08,0.23,0.66,0.0,0.0,7.805583160177076,0.0,0.0,0.0,2.600601229489352,0.040046573945347795,17.129999999999995,0,0,1.0,6.123233995736766e-17
2012-04,2.67,1.08,0.23,5.918899082568796,3.953186274509801,5.128634878069227,0.0,1.9729663608562653,1.3177287581699337,5.182825313759243,0.023061844178810336,19.290000000000006,0,0,0.8660254037844387,-0.4999999999999998
2012-05,1.32,2.67,1.08,1.3411680738941723,0.9126940152642149,-4.543642885611798,0.0,2.420022385487656,1.6219600965913388,2.7968583842115016,0.0,16.430000000000007,0,0,0.49999999999999994,-0.8660254037844387
2012-06,-1.64,1.32,2.67,0.5238461538461525,0.15074766355138713,-7.858037578288101,0.0,2.59463777010304,1.6722093177751345,-2.424348528610224,0.0,15.680000000000007,0,0,1.2246467991473532e-16,-1.0
2012-07,-2.71,-1.64,1.32,-5.084093666596113,-4.318676611799221,-13.75747688961393,0.0,-1.073026479618596,-1.0850783109945397,-8.719719117837943,0.0,12.86,0,0,-0.4999999999999997,-0.8660254037844388
2012-08,1.07,-2.71,-1.64,-4.714003476559647,-2.1718787106829063,7.839428331231613,0.0,-3.0914169964365357,-2.11326921964358,-4.592028712223473,0.0,14.719999999999999,0,0,-0.8660254037844385,-0.5000000000000004
2012-09,3.83,1.07,-2.71,8.855190256362299,6.166602446801761,10.465796141103102,0.0,-0.31430229559782025,-0.10798429189345526,1.5159158609069283,0.0,19.230000000000004,0,0,-1.0,-1.8369701987210297e-16
2012-10,0.61,3.83,1.07,4.283346705207602,2.5899140733172787,-0.44107268877910943,0.0,2.8081778283367513,2.1948792698120445,5.954717261185202,0.0,18.349999999999994,0,0,-0.8660254037844386,0.5000000000000001
2012-11,0.03,0.61,3.83,0.0,0.0,-1.0189615452773415,0.0,4.3795123205233,2.91883884003968,3.001920635682217,0.0,22.22,0,0,-0.5000000000000004,0.8660254037844384
2012-12,-0.43,0.03,0.61,-1.3802484472049792,0.0,-2.3722137677915978,0.0,0.9676994193342078,0.8633046911057599,-1.2774160006160162,0.0,22.53,0,0,-2.4492935982947064e-16,1.0
2013-01,0.03,-0.43,0.03,-0.6998039608391848,-0.17716247139587527,0.3942783788740023,0.0,-0.693350802681388,-0.05905415713195813,-0.9989656447316456,0.0,21.629999999999995,0,0,0.49999999999999994,0.8660254037844387
2013-02,0.81,0.03,-0.43,0.0,-1.197957571514574,3.169239199926932,0.0,-0.693350802681388,-0.45837334763681614,0.39710127033644554,0.0,18.19999999999999,1,0,0.8660254037844386,0.5000000000000001
